id, pergunta, resposta
1, "Explique o conceito de subsunção no Direito.", "É a aplicação da norma aos fatos. A correspondência entre o fato e a norma."
2, "Conceitue 'circunstância qualificadora'.", "É uma circunstância especial que modifica o tipo penal básico, tornando a conduta mais grave e aumentando a pena."
3, "Conceitue 'motivo torpe' para efeitos da qualificação do crime de homicídio.", "É um motivo repugnante, desprezível, que denota baixeza."
4, "Conceitue 'motivo fútil' para efeitos da qualificação do crime de homicídio.", "É um motivo insignificante, banal, desproporcional ao crime praticado."
5, "Conceitue 'meio insidioso' e cite o exemplo contido no texto legal do artigo 121 §2º III do Código Penal.", "Meio traiçoeiro, que envolve astúcia ou qualquer forma de engano. Ex: veneno."
6, "Conceitue 'meio cruel' e cite os três exemplos contidos no texto legal do artigo 121 §2º III do Código Penal.", "Meio que aumenta o sofrimento da vítima. Ex: fogo, asfixia e tortura."
7, "Conceitue 'perigo comum' e cite o exemplo contido no texto legal do artigo 121 §2º III do Código Penal.", "Põe em risco a vida ou a integridade física de outras pessoas, além da vítima desejada. Ex: explosivos."
8, "Conceitue 'traição' para efeitos de qualificação do crime de homicídio.", "Quando há uma relação de confiança que é quebrada ou quando há emprego de meios traiçoeiros."
9, "Conceitue 'emboscada' para efeitos de qualificação do crime de homicídio.", "Quando o agente espera a vítima em um lugar estratégico para atacá-la de surpresa."
10, "Conceitue 'dissimulação' para efeitos de qualificação do crime de homicídio.", "Consiste em mentir para ganhar a confiança da vítima."
11, "Explique o que é um feminicídio, esclarecendo o que são razões da condição de sexo feminino.", "Homicídio contra mulher por razões da condição de sexo feminino. Por razões da condição de sexo feminino se entende por violência doméstica e familiar ou menosprezo ou discriminação à condição de mulher."
12, "De acordo com a jurisprudência do Superior Tribunal de Justiça, uma mulher transexual pode ser vítima do crime de feminicídio?", "Depende, a decisão é do tribunal do júri."
13, "Explique o conceito de 'homicídio funcional'.", "Praticado contra profissionais da segurança pública, no exercício da função ou em decorrência dela, ou contra cônjuge, companheiro ou parente de até 3º grau."
14, "De acordo com o Código de Processo Penal, como deve ser feita a prova da materialidade no crime de homicídio e nos demais crimes que deixam vestígios?", "Se há vestígios deve ser realizado o exame de corpo de delito, não sendo possível, deve ser realizado através de prova testemunhal."
15, "Conceitue 'circunstância privilegiadora' e aponte quais são as duas circunstâncias privilegiadoras do crime de homicídio.", "Aquela que diminui a pena. As duas circunstâncias ocorrem quando o crime é praticado sob domínio de violenta emoção, logo em seguida a injusta provocação da vítima ou relevante valor social ou moral."
16, "O homicídio qualificado-privilegiado pode ser classificado como um crime hediondo?", "Não, a privilegiadora afasta a hediondez."
17, "Explique os critérios da indiferença, da probabilidade e dos contrafatores (perigo qualificado) para diferenciar homicídio doloso e culposo.", "Critério da indiferença: se o agente agiu com indiferença, configura-se dolo eventual, se agiu com otimismo, culpa consciente. /Critério da probabilidade: se o resultado era muito provável, configura-se dolo eventual, se pouco provável, culpa consciente. /Critério dos contrafatores: busca estabelecer se o agente procurou algum contrafator para diminuir o risco. Ex: dirigir bêbado, mas dirigir devagar."
18, "Quais os dois requisitos para a concessão do perdão judicial no crime de homicídio?", "Se o homicídio for culposo e se o agente sofrer consequências físicas ou psicológicas tão graves com a infração penal, que a sanção se torne desnecessária."
19, "Diferencie: homicídio e auxílio ao suicídio.", "No homicídio o agente pratica a ação de matar. Já no auxílio ao suicídio o agente não pratica a ação, apenas fornece meios para que isso aconteça."
20, "Qual o tratamento jurídico-penal da distanásia, da ortotanásia, da eutanásia e do suicídio assistido no direito brasileiro?", "A distanásia e a ortotanásia são direitos. Já a eutanásia e o suicídio assistido não são permitidos no direito brasileiro e são criminalmente puníveis."
21, "Qual o tratamento jurídico do error in persona no crime de infanticídio?", "Considera a vítima desejada e não a real, a mãe responde por infanticídio."
22, "Quais as seis modalidades do crime de aborto?", "Auto-aborto / Aborto com consentimento da gestante / Aborto sem consentimento / Aborto consentido por terceiro / Aborto qualificado pela lesão grave / Aborto qualificado pela morte da gestante."
23, "Quando a tentativa de aborto não será punível por ser considerada um crime impossível?", "Por ineficácia absoluta do meio ou por absoluta impropriedade do objeto."
24, "Quais as escusas absolutórias, legais e jurisprudenciais, aplicáveis ao crime de aborto?", "Para salvar a vida da gestante / Gravidez resultante de estupro / Anencefalia fetal."
25, "Diferencie homicídio e lesões corporais seguidas de morte.", "No homicídio há o dolo de matar. Já na lesão corporal seguida de morte há o dolo apenas de lesionar."
26, "Como deve ser feita a prova da materialidade no crime de lesões corporais?", "Se há vestígios deve ser realizado o exame de corpo de delito, não sendo possível, deve ser realizado através de prova testemunhal. Nos casos de violência doméstica a palavra da vítima é válida."
27, "Qual a ação penal no crime de lesões corporais?", "Em regra será incondicionada. Será condicionada em casos de lesões leves e culposas, porém será incondicionada em casos de lesões leves em situação de violência doméstica."
28, "Quais pontos levaram a Corte Interamericana de Direitos Humanos a responsabilizar o Estado brasileiro no caso Maria da Penha Fernandes vs. Brasil?", "Demora injustificada do processo / Ausência de medidas eficazes para erradicar a violência contra mulher."
29, "Cite quatro medidas determinadas ao Estado brasileiro pela Corte Interamericana de Direitos Humanos no caso Maria da Penha Fernandes vs. Brasil.", "Conclusão do processo / Criação de um sistema judicial rápido e eficaz / Políticas públicas de prevenção / Capacitação dos profissionais do sistema judicial."
30, "Qual o conceito legal de violência doméstica previsto no Código Penal para caracterização da forma qualificada do crime de lesões corporais?", "Violência familiar (contra ascendente, descendente, irmãos, cônjuge ou companheiro) / Violência relacional (contra quem conviva ou tenha convivido) / Violência doméstica propriamente dita (contra quem possua relação doméstica, de coabitação e de hospitalidade)."
